id,start_date,mean,num_list_users,nsfw,media_type,num_episodes,rating,title,picture,prequel,genre1,genre2,genre3,genre4,genre5
37521,2019-07-08,8.75,1456762,white,tv,24,r,Vinland Saga,https://cdn.myanimelist.net/images/anime/1500/103005l.jpg,False,Action,Adventure,Drama,Gore,Historical
49387,2023-01-10,8.8,551237,white,tv,24,r,Vinland Saga Season 2,https://cdn.myanimelist.net/images/anime/1170/124312l.jpg,True,Action,Adventure,Drama,Gore,Historical
37779,2019-01-10,8.5,1929940,white,tv,12,r,The Promised Neverland,https://cdn.myanimelist.net/images/anime/1830/118780l.jpg,False,Fantasy,Mystery,Psychological,Sci-Fi,Shounen
39617,2021-01-08,5.28,909272,white,tv,11,r,The Promised Neverland Season 2,https://cdn.myanimelist.net/images/anime/1815/110626l.jpg,True,Fantasy,Psychological,Sci-Fi,Shounen,Survival
392,1992-10-10,8.46,676724,white,tv,112,pg_13,Yu Yu Hakusho: Ghost Files,https://cdn.myanimelist.net/images/anime/1228/111372l.jpg,False,Action,Fantasy,Martial Arts,Mythology,Shounen
31646,2016-10-08,8.38,669211,white,tv,22,pg_13,March Comes In Like a Lion,https://cdn.myanimelist.net/images/anime/3/82899l.jpg,False,Childcare,Drama,Seinen,Strategy Game,
35180,2017-10-14,8.92,395363,white,tv,22,pg_13,March Comes In Like a Lion 2nd Season,https://cdn.myanimelist.net/images/anime/3/88469l.jpg,True,Childcare,Drama,Seinen,Strategy Game,
41457,2021-04-11,8.29,742180,white,tv,11,r,86 Eighty-Six,https://cdn.myanimelist.net/images/anime/1987/117507l.jpg,False,Action,Drama,Mecha,Military,Sci-Fi
11759,2012-04-07,7.22,708581,white,tv,24,pg_13,Accel World,https://cdn.myanimelist.net/images/anime/1002/135430l.jpg,False,Action,Romance,School,Sci-Fi,Video Game
9989,2011-04-15,8.3,1587233,white,tv,11,pg_13,Anohana: The Flower We Saw That Day,https://cdn.myanimelist.net/images/anime/5/79697l.jpg,False,Drama,Supernatural,,,
40128,2020-04-04,7.19,128513,white,tv,12,pg_13,Arte,https://cdn.myanimelist.net/images/anime/1284/106945l.jpg,False,Drama,Historical,Seinen,Visual Arts,
32827,2018-03-02,7.17,342631,white,ona,12,r,B: The Beginning,https://cdn.myanimelist.net/images/anime/1564/90469l.jpg,False,Action,Detective,Mystery,Psychological,Supernatural
28805,2015-07-11,8.24,418401,white,movie,1,pg_13,The Boy and the Beast,https://cdn.myanimelist.net/images/anime/11/73540l.jpg,False,Adventure,Anthropomorphic,Fantasy,Isekai,
5081,2009-07-03,8.33,1383273,white,tv,15,r,Bakemonogatari,https://cdn.myanimelist.net/images/anime/11/75274l.jpg,True,Mystery,Romance,Supernatural,Vampire,
7674,2010-10-02,8.18,614718,white,tv,25,pg_13,Bakuman.,https://cdn.myanimelist.net/images/anime/6/26138l.jpg,False,Comedy,Drama,Otaku Culture,Romance,Shounen
10030,2011-10-01,8.34,350298,white,tv,25,pg_13,Bakuman. Season 2,https://cdn.myanimelist.net/images/anime/3/34923l.jpg,True,Comedy,Drama,Otaku Culture,Romance,Shounen
12365,2012-10-06,8.53,326944,white,tv,25,pg_13,Bakuman. Season 3,https://cdn.myanimelist.net/images/anime/6/41845l.jpg,True,Comedy,Drama,Otaku Culture,Romance,Shounen
34636,2017-07-09,8.18,330190,white,tv,24,pg_13,Welcome to the Ballroom,https://cdn.myanimelist.net/images/anime/5/86739l.jpg,False,Performing Arts,Shounen,Sports,,
889,2006-04-09,8.03,991088,white,tv,12,r,Black Lagoon,https://cdn.myanimelist.net/images/anime/1906/121592l.jpg,False,Action,Adult Cast,Organized Crime,Seinen,
4901,2010-06-27,8.02,295028,white,ova,5,r+,Black Lagoon: Roberta's Blood Trail,https://cdn.myanimelist.net/images/anime/8/75529l.jpg,True,Action,Adult Cast,Organized Crime,Seinen,
1519,2006-10-03,8.17,511632,white,tv,12,r,Black Lagoon: The Second Barrage,https://cdn.myanimelist.net/images/anime/3/83748l.jpg,True,Action,Adult Cast,Organized Crime,Seinen,
31964,2016-04-03,7.87,2968232,white,tv,13,pg_13,My Hero Academia,https://cdn.myanimelist.net/images/anime/10/78745l.jpg,False,Action,School,Shounen,Super Power,
33486,2017-04-01,8.09,2477982,white,tv,25,pg_13,My Hero Academia Season 2,https://cdn.myanimelist.net/images/anime/12/85221l.jpg,True,Action,School,Shounen,Super Power,
36456,2018-04-07,8.02,2147583,white,tv,25,pg_13,My Hero Academia Season 3,https://cdn.myanimelist.net/images/anime/1319/92084l.jpg,True,Action,School,Shounen,Super Power,
37435,2019-04-11,7.86,323730,white,tv,24,pg_13,Carole & Tuesday,https://cdn.myanimelist.net/images/anime/1611/96157l.jpg,False,Drama,Music,Sci-Fi,,
28999,2015-07-05,7.75,1583234,white,tv,13,pg_13,Charlotte,https://cdn.myanimelist.net/images/anime/12/74683l.jpg,False,Drama,School,Super Power,,
10800,2011-10-05,8.18,455423,white,tv,25,pg_13,Chihayafuru,https://cdn.myanimelist.net/images/anime/3/35749l.jpg,False,Drama,Josei,Love Polygon,School,Sports
14397,2013-01-12,8.38,232786,white,tv,25,pg_13,Chihayafuru 2,https://cdn.myanimelist.net/images/anime/6/47435l.jpg,True,Drama,Josei,Love Polygon,School,Sports
2167,2007-10-05,7.99,1398679,white,tv,23,pg_13,Clannad,https://cdn.myanimelist.net/images/anime/1804/95033l.jpg,False,Drama,Romance,School,Supernatural,
4181,2008-10-03,8.93,1176528,white,tv,24,pg_13,Clannad: After Story,https://cdn.myanimelist.net/images/anime/1299/110774l.jpg,True,Drama,Romance,Supernatural,,
35849,2018-01-13,7.2,1616425,white,tv,24,pg_13,DARLING in the FRANXX,https://cdn.myanimelist.net/images/anime/1614/90408l.jpg,False,Action,Drama,Mecha,Romance,Sci-Fi
28223,2015-01-10,8.15,1740387,white,tv,12,r,Death Parade,https://cdn.myanimelist.net/images/anime/5/71553l.jpg,False,Adult Cast,Drama,High Stakes Game,Psychological,Supernatural
35120,2018-01-05,7.75,1125304,white,ona,10,r+,Devilman: Crybaby,https://cdn.myanimelist.net/images/anime/2/89973l.jpg,False,Action,Avant Garde,Gore,Horror,Mythology
37520,2019-01-07,8.25,1196101,white,tv,24,r,Dororo,https://cdn.myanimelist.net/images/anime/1879/100467l.jpg,False,Action,Adventure,Historical,Mythology,Samurai
223,1986-02-26,7.96,1019803,white,tv,153,pg_13,Dragon Ball,https://cdn.myanimelist.net/images/anime/1887/92364l.jpg,False,Action,Adventure,Comedy,Fantasy,Martial Arts
30694,2015-07-05,7.44,813037,white,tv,131,pg_13,Dragon Ball Super,https://cdn.myanimelist.net/images/anime/7/74606l.jpg,False,Action,Adventure,Comedy,Fantasy,Martial Arts
813,1989-04-26,8.17,1206742,white,tv,291,pg_13,Dragon Ball Z,https://cdn.myanimelist.net/images/anime/1607/117271l.jpg,True,Action,Adventure,Comedy,Fantasy,Martial Arts
31339,2016-10-07,7.89,559711,white,tv,12,r,Drifters,https://cdn.myanimelist.net/images/anime/10/80271l.jpg,False,Action,Adult Cast,Adventure,Comedy,Fantasy
28121,2015-04-04,7.54,1502532,white,tv,13,pg_13,Is It Wrong to Try to Pick Up Girls in a Dungeon?,https://cdn.myanimelist.net/images/anime/2/70187l.jpg,False,Action,Adventure,Fantasy,,
37347,2019-07-13,7.24,800610,white,tv,12,pg_13,Is It Wrong to Try to Pick Up Girls in a Dungeon? II,https://cdn.myanimelist.net/images/anime/1730/101329l.jpg,True,Action,Adventure,Fantasy,,
37348,2019-02-15,7.45,210860,white,movie,1,pg_13,Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion,https://cdn.myanimelist.net/images/anime/1239/96949l.jpg,False,Action,Adventure,Fantasy,,
38671,2019-07-06,7.71,1305753,white,tv,24,pg_13,Fire Force,https://cdn.myanimelist.net/images/anime/1664/103275l.jpg,False,Action,Fantasy,Sci-Fi,Shounen,Super Power
40956,2020-07-04,7.81,749630,white,tv,24,pg_13,Fire Force Season 2,https://cdn.myanimelist.net/images/anime/1673/107657l.jpg,True,Action,Fantasy,Sci-Fi,Shounen,Super Power
356,2006-01-07,7.28,933018,white,tv,24,r,Fate/stay night,https://cdn.myanimelist.net/images/anime/4/30327l.jpg,True,Action,Fantasy,Romance,Supernatural,
38680,2019-04-06,8.21,810906,white,tv,25,pg_13,Fruits Basket 1st Season,https://cdn.myanimelist.net/images/anime/1447/99827l.jpg,False,Drama,Love Polygon,Romance,School,Shoujo
40417,2020-04-07,8.55,496005,white,tv,25,pg_13,Fruits Basket 2nd Season,https://cdn.myanimelist.net/images/anime/1972/111635l.jpg,True,Drama,Romance,School,Shoujo,Supernatural
42938,2021-04-06,8.99,460482,white,tv,13,pg_13,Fruits Basket: The Final Season,https://cdn.myanimelist.net/images/anime/1085/114792l.jpg,True,Drama,Romance,Shoujo,Supernatural,
41025,2021-04-12,8.35,848860,white,tv,20,r,To Your Eternity,https://cdn.myanimelist.net/images/anime/1880/118484l.jpg,False,Adventure,Drama,Shounen,Supernatural,
25183,2015-07-02,7.41,572606,white,tv,12,r,Gangsta.,https://cdn.myanimelist.net/images/anime/8/74415l.jpg,False,Action,Adult Cast,Drama,Organized Crime,Seinen
32071,2016-10-14,7.4,98615,white,movie,1,r+,Gantz:O,https://cdn.myanimelist.net/images/anime/7/81255l.jpg,False,Action,Drama,Gore,High Stakes Game,Horror
23289,2014-07-07,7.83,916725,white,tv,12,pg_13,Monthly Girls' Nozaki-kun,https://cdn.myanimelist.net/images/anime/5/66083l.jpg,False,Comedy,Otaku Culture,Romance,School,
37349,2018-10-07,7.42,1100443,white,tv,12,r,Goblin Slayer,https://cdn.myanimelist.net/images/anime/1719/95621l.jpg,False,Action,Adventure,Fantasy,Gore,
268,1995-10-27,8.04,391317,white,ova,6,r+,Golden Boy,https://cdn.myanimelist.net/images/anime/3/62867l.jpg,False,Adult Cast,Adventure,Comedy,Ecchi,Gag Humor
17895,2013-10-04,7.74,1022013,white,tv,24,pg_13,Golden Time,https://cdn.myanimelist.net/images/anime/12/52091l.jpg,False,Adult Cast,Drama,Love Polygon,Romance,
37105,2018-07-14,8.43,761850,white,tv,12,pg_13,Grand Blue Dreaming,https://cdn.myanimelist.net/images/anime/1302/94882l.jpg,False,Adult Cast,Comedy,Seinen,,
245,1999-06-30,8.69,812495,white,tv,43,r,Great Teacher Onizuka,https://cdn.myanimelist.net/images/anime/13/11460l.jpg,True,Comedy,Delinquents,School,Shounen,Workplace
20583,2014-04-06,8.44,1930883,white,tv,25,pg_13,Haikyu!!,https://cdn.myanimelist.net/images/anime/7/76014l.jpg,False,School,Shounen,Sports,Team Sports,
27989,2015-04-08,8.0,450303,white,tv,13,pg_13,Sound! Euphonium,https://cdn.myanimelist.net/images/anime/6/72445l.jpg,False,Drama,Music,Performing Arts,School,
