id,start_date,end_date,mean,num_list_users,nsfw,media_type,num_episodes,rating,title,prequel,related,genre1,genre2,genre3,genre4,genre5,picture
23985,2014-10-10,,6.1,10255,white,ova,3,r+,Step Up Love Story (2014),True,382,Comedy,Ecchi,Romance,Seinen,Slice of Life,https://cdn.myanimelist.net/images/anime/10/67563l.jpg
10882,2010-12-21,,5.97,2339,white,ova,2,pg_13,Ghost Messenger,False,30278,Action,Supernatural,,,,https://cdn.myanimelist.net/images/anime/7/30034l.webp
11883,2004-01-21,,3.25,2675,white,ona,1,pg_13,Battle of Clay 2,True,11897,Action,Comedy,,,,https://cdn.myanimelist.net/images/anime/2/33245l.jpg
11887,2012-07-08,,7.74,836548,white,tv,13,pg_13,Kokoro Connect,False,16001,Drama,Love Polygon,Romance,School,Supernatural,https://cdn.myanimelist.net/images/anime/2/39665l.webp
42501,2001-08-24,,5.67,524,white,ova,1,g,Hello Kitty in the Bamboo Princess,False,17955 22489 22497 22563,Fantasy,Kids,,,,https://cdn.myanimelist.net/images/anime/1981/108569l.jpg
11897,2004-01-28,,3.36,3293,white,ona,1,pg,Battle of Clay,False,11883 40282,Action,Comedy,,,,https://cdn.myanimelist.net/images/anime/3/33273l.jpg
8899,1969-01-13,,6.16,1232,white,tv,65,pg,Marine Boy,True,8897,Action,Adventure,Kids,Sci-Fi,,https://cdn.myanimelist.net/images/anime/13/24677l.jpg
11917,2011-12-16,,8.28,37091,white,ova,2,pg_13,Major: World Series,True,7655 9890,Shounen,Sports,Team Sports,,,https://cdn.myanimelist.net/images/anime/5/75220l.jpg
33091,2016-07-07,,7.55,96903,white,ona,5,pg_13,Planetarian: The Reverie of a Little Planet,True,33190 40778 48775 50685,Drama,Sci-Fi,,,,https://cdn.myanimelist.net/images/anime/11/80753l.jpg
11933,2012-07-09,,7.36,297804,white,tv,12,pg_13,The Ambition of Oda Nobuna,False,15719,Action,Comedy,Harem,Historical,Military,https://cdn.myanimelist.net/images/anime/11/39249l.jpg
4713,2011-07-30,,6.03,32278,white,movie,1,pg_13,Heart no Kuni no Alice: Wonderful Wonder World,False,,Fantasy,Josei,Reverse Harem,Romance,,https://cdn.myanimelist.net/images/anime/10/28748l.jpg
9708,2009-09-25,,5.54,5353,white,ova,2,pg_13,Mobile Suit Gundam ZZ: Gundam Frag.,False,86,Action,Mecha,Military,Sci-Fi,,https://cdn.myanimelist.net/images/anime/8/88568l.webp
11977,2012-10-06,,8.22,201452,white,movie,1,pg_13,Puella Magi Madoka Magica the Movie Part 1: Beginnings,False,9756 11979,Drama,Fantasy,Mahou Shoujo,Psychological,Suspense,https://cdn.myanimelist.net/images/anime/6/42331l.webp
11979,2012-10-13,,8.37,204618,white,movie,1,pg_13,Puella Magi Madoka Magica the Movie Part 2: Eternal,True,9756 11977 11981,Drama,Fantasy,Mahou Shoujo,Psychological,Suspense,https://cdn.myanimelist.net/images/anime/6/42265l.jpg
11981,2013-10-26,,8.48,382420,white,movie,1,pg_13,Puella Magi Madoka Magica the Movie: Rebellion,True,9756 11979 23831 48820,Award Winning,Drama,Fantasy,Mahou Shoujo,Psychological,https://cdn.myanimelist.net/images/anime/5/54231l.jpg
40106,2014-10-26,,4.79,383,white,ona,1,g,Collapse Zen,False,,Avant Garde,,,,,https://cdn.myanimelist.net/images/anime/1189/102043l.jpg
50411,2022-01-15,,6.56,5650,white,ona,13,pg_13,Busted! Darklord.,False,51645,Comedy,,,,,https://cdn.myanimelist.net/images/anime/1034/119535l.jpg
11995,2002-06-15,,5.27,1549,white,movie,1,r,Guilstein,False,,Action,Gore,Horror,Sci-Fi,,https://cdn.myanimelist.net/images/anime/3/33889l.jpg
12001,2011-12-01,,6.79,25413,white,movie,1,pg_13,One Piece 3D: Racing! Trap Coaster,False,21,Action,Adventure,Fantasy,Shounen,,https://cdn.myanimelist.net/images/anime/4/33839l.jpg
12015,2012-09-22,,7.35,26441,white,movie,1,pg_13,Tiger & Bunny Movie 1,False,9941 12017,Action,Adult Cast,Comedy,Mystery,Super Power,https://cdn.myanimelist.net/images/anime/2/40041l.jpg
12017,2014-02-08,,7.69,32336,white,movie,1,pg_13,Tiger & Bunny: The Rising,True,9941 12015 41595,Action,Adult Cast,Comedy,Mystery,Sci-Fi,https://cdn.myanimelist.net/images/anime/9/56915l.jpg
12021,2012-01-08,,7.63,21472,white,tv,52,pg,Poyopoyo,False,,Comedy,Pets,Seinen,Slice of Life,,https://cdn.myanimelist.net/images/anime/11/35455l.jpg
12029,2012-05-25,,8.32,116205,white,ova,26,pg_13,Star Blazers: Space Battleship Yamato 2199,False,1650 23249 23931 33064 40554,Action,Adult Cast,Drama,Military,Sci-Fi,https://cdn.myanimelist.net/images/anime/2/36607l.jpg
13863,2013-03-02,,6.21,26566,white,movie,1,r,Arve Rezzle: Kikaijikake no Yousei-tachi,False,14347 14349 14353,Action,Drama,Mystery,Sci-Fi,Suspense,https://cdn.myanimelist.net/images/anime/4/43343l.webp
12031,2012-06-04,,7.9,222446,white,tv,38,r,Kingdom,False,17389,Action,Historical,Military,Seinen,,https://cdn.myanimelist.net/images/anime/13/39511l.jpg
12035,2011-11-03,,6.64,7281,white,movie,1,r,Dwaeji-ui Wang,False,,Drama,Psychological,Suspense,,,https://cdn.myanimelist.net/images/anime/1842/112771l.webp
36625,2017-04-07,,7.02,16460,white,ova,1,r,Ajin Part 2 OVA,False,33253,Action,Horror,Mystery,Seinen,Supernatural,https://cdn.myanimelist.net/images/anime/1575/132721l.jpg
44208,2021-01-11,,5.84,15723,white,tv,13,pg_13,Theatre of Darkness: Yamishibai 8,True,39836 49110,Avant Garde,Horror,Supernatural,,,https://cdn.myanimelist.net/images/anime/1311/110392l.jpg
12049,2012-08-18,,7.38,218591,white,movie,1,pg_13,Fairy Tail the Movie: The Phoenix Priestess,True,6702 17535,Action,Adventure,Fantasy,Shounen,,https://cdn.myanimelist.net/images/anime/13/47083l.jpg
31265,1987,,5.16,459,white,movie,1,g,Photodiary 87,False,31264,Avant Garde,,,,,https://cdn.myanimelist.net/images/anime/4/75692l.jpg
12053,2012-09-29,,7.39,35632,white,movie,1,r+,Mardock Scramble: The Third Exhaust,True,10624,Action,Psychological,Sci-Fi,,,https://cdn.myanimelist.net/images/anime/12/39309l.jpg
19731,1994-04-25,,6.12,554,white,movie,1,pg,Osamu and Musashi,False,,Adventure,Fantasy,Kids,,,https://cdn.myanimelist.net/images/anime/3/53337l.jpg
42248,1987,,5.04,382,white,movie,1,g,Eizou (Kage),False,,Avant Garde,Music,,,,https://cdn.myanimelist.net/images/anime/1078/108082l.jpg
11221,1984-07-21,,6.01,2383,white,ova,1,pg_13,Machikado no Märchen,False,,Music,Romance,,,,https://cdn.myanimelist.net/images/anime/10/31057l.jpg
36094,2018-01-12,,7.69,66004,white,tv,12,pg_13,Hakumei and Mikochi,False,37109,Anthropomorphic,Fantasy,Iyashikei,Seinen,Slice of Life,https://cdn.myanimelist.net/images/anime/1250/91694l.jpg
12113,2012-06-23,,7.87,215580,white,movie,1,r+,Berserk: The Golden Age Arc II - The Battle for Doldrey,True,10218 12115 52976,Action,Adventure,Drama,Fantasy,Gore,https://cdn.myanimelist.net/images/anime/12/37193l.jpg
12115,2013-02-01,,8.2,227519,white,movie,1,r+,Berserk: The Golden Age Arc III - The Advent,True,12113 32379 52976,Action,Adventure,Drama,Fantasy,Gore,https://cdn.myanimelist.net/images/anime/12/41305l.jpg
18589,1996-01-13,,5.96,490,white,ova,1,g,Hello Kitty no Minna no Mori wo Mamore!,False,,Kids,,,,,https://cdn.myanimelist.net/images/anime/8/49665l.jpg
12117,2012-04-14,,7.7,44569,white,movie,1,g,Detective Conan Movie 16: The Eleventh Striker,False,235 13837,Adventure,Comedy,Detective,Mystery,Shounen,https://cdn.myanimelist.net/images/anime/8/37511l.webp
12119,2012-04-06,,7.01,44311,white,tv,12,pg_13,A Summer-Colored Miracle,False,15431,School,Slice of Life,Supernatural,,,https://cdn.myanimelist.net/images/anime/1904/141848l.webp
42484,2010,,5.62,301,white,movie,1,g,Bring me up,False,,Avant Garde,Drama,,,,https://cdn.myanimelist.net/images/anime/1998/108550l.jpg
9793,2011-04-13,,7.26,15436,white,ova,2,pg_13,Senjou no Valkyria 3: Tagatame no Juusou,False,5507,Action,Fantasy,Military,,,https://cdn.myanimelist.net/images/anime/5/27146l.jpg
12123,2012-04-03,,6.29,8494,white,tv,13,pg_13,Yurumates 3D,False,6148 14693 14949,Comedy,Seinen,Slice of Life,,,https://cdn.myanimelist.net/images/anime/3/36705l.webp
12133,2009,,5.69,1256,white,ova,1,g,Sekaikei Sekai Ron,False,,Psychological,Sci-Fi,,,,https://cdn.myanimelist.net/images/anime/9/34245l.jpg
12137,2010-08-16,,6.77,15202,white,ova,1,pg_13,Robotica*Robotics,False,,Boys Love,Psychological,Sci-Fi,,,https://cdn.myanimelist.net/images/anime/7/89081l.jpg
12141,1988-08-20,,5.68,1758,white,ova,1,g,Kaze no Matasaburou,False,30922,Fantasy,Kids,Slice of Life,,,https://cdn.myanimelist.net/images/anime/5/34253l.jpg
12145,2005,,5.9,2165,white,tv,52,g,Bernard,False,25963 25965 25973 25975 25977 26011 26015,Comedy,Kids,,,,https://cdn.myanimelist.net/images/anime/7/65879l.jpg
12149,2012-04-29,,7.35,62449,white,tv,13,pg_13,AKB0048,False,14941,Idols (Female),Music,Sci-Fi,,,https://cdn.myanimelist.net/images/anime/3/74157l.jpg
12157,2011-12-22,,5.66,6658,white,ona,5,pg_13,Busou Chuugakusei: Basket Army,False,,Action,Military,,,,https://cdn.myanimelist.net/images/anime/10/48839l.jpg
18055,2013-07-07,,7.61,64172,white,tv,13,pg_13,Hakkenden -Eight Dogs of the East- Season 2,True,15613,Action,Fantasy,Mystery,Mythology,Shoujo,https://cdn.myanimelist.net/images/anime/10/50885l.jpg
12163,2007-07-14,,6.32,1114,white,movie,1,g,Ginga Tetsudou 999: Hoshizora wa Time Machine,False,1491,Drama,Sci-Fi,,,,https://cdn.myanimelist.net/images/anime/8/34337l.jpg
12175,2012-07-06,,6.97,250270,white,tv,12,pg_13,"Love, Election and Chocolate",False,18045 18053,Drama,Harem,Romance,School,,https://cdn.myanimelist.net/images/anime/4/42015l.jpg
